Date (Year),Location,Property category,Average(C$)
2005,Canada,Residential,2342865.3
2005,Newfoundland and Labrador,Residential,18494.1
2005,Prince Edward Island,Residential,4332.9
2005,Nova Scotia,Residential,44301.1
2005,New Brunswick,Residential,22649.0
2005,Quebec,Residential,405304.6
2005,Ontario,Residential,1030226.2
2005,Manitoba,Residential,49302.3
2005,Saskatchewan,Residential,36524.9
2005,Alberta,Residential,244114.6
2005,British Columbia,Residential,483940.9
2005,Yukon,Residential,1231.9
2005,Northwest Territories,Residential,1824.8
2005,Nunavut,Residential,617.9
2005,Total census metropolitan areas,Residential,1772106.3
2005,"St. John's, Newfoundland and Labrador",Residential,8608.7
2005,"Halifax, Nova Scotia",Residential,22797.2
2005,"Saint John, New Brunswick",Residential,4198.9
2005,"Moncton, New Brunswick",Residential,4708.7
2005,"Montréal, Quebec",Residential,232470.6
2005,"Québec, Quebec",Residential,34624.6
2005,"Saguenay, Quebec",Residential,5357.8
2005,"Sherbrooke, Quebec",Residential,9033.3
2005,"Trois-Rivières, Quebec",Residential,4941.8
2005,"Barrie, Ontario",Residential,14304.2
2005,"Brantford, Ontario",Residential,7570.8
2005,"Greater Sudbury, Ontario",Residential,6727.1
2005,"Guelph, Ontario",Residential,9849.8
2005,"Hamilton, Ontario",Residential,52360.2
2005,"Kingston, Ontario",Residential,10920.0
2005,"Kitchener-Cambridge-Waterloo, Ontario",Residential,30961.4
2005,"London, Ontario",Residential,28600.4
2005,"Oshawa, Ontario",Residential,25157.0
2005,"Ottawa-Gatineau, Ontario/Quebec",Residential,90097.5
2005,Ottawa part,Residential,73630.4
2005,Gatineau part,Residential,16467.2
2005,"Peterborough, Ontario",Residential,8538.1
2005,"St. Catharines-Niagara, Ontario",Residential,25348.0
2005,"Thunder Bay, Ontario",Residential,6039.0
2005,"Toronto, Ontario",Residential,521306.2
2005,"Windsor, Ontario",Residential,19916.9
2005,"Winnipeg, Manitoba",Residential,33341.5
2005,"Regina, Saskatchewan",Residential,9425.0
2005,"Saskatoon, Saskatchewan",Residential,11462.6
2005,"Calgary, Alberta",Residential,99672.5
2005,"Edmonton, Alberta",Residential,73720.4
2005,"Kelowna, British Columbia",Residential,18729.1
2005,"Abbotsford-Mission, British Columbia",Residential,12482.9
2005,"Vancouver, British Columbia",Residential,283537.7
2005,"Victoria, British Columbia",Residential,45296.0
2006,Canada,Residential,2675933.8
2006,Newfoundland and Labrador,Residential,18553.5
2006,Prince Edward Island,Residential,4982.7
2006,Nova Scotia,Residential,48568.1
2006,New Brunswick,Residential,23801.0
2006,Quebec,Residential,440905.6
2006,Ontario,Residential,1114416.8
2006,Manitoba,Residential,52479.4
2006,Saskatchewan,Residential,40008.0
2006,Alberta,Residential,330440.5
2006,British Columbia,Residential,597516.6
2006,Yukon,Residential,1356.4
2006,Northwest Territories,Residential,2295.4
2006,Nunavut,Residential,609.8
2006,Total census metropolitan areas,Residential,2024215.2
2006,"St. John's, Newfoundland and Labrador",Residential,8696.1
2006,"Halifax, Nova Scotia",Residential,25349.6
2006,"Saint John, New Brunswick",Residential,4348.5
2006,"Moncton, New Brunswick",Residential,5023.1
2006,"Montréal, Quebec",Residential,252162.7
2006,"Québec, Quebec",Residential,38305.6
2006,"Saguenay, Quebec",Residential,5736.7
2006,"Sherbrooke, Quebec",Residential,10218.0
2006,"Trois-Rivières, Quebec",Residential,5367.9
2006,"Barrie, Ontario",Residential,15904.2
2006,"Brantford, Ontario",Residential,8394.8
2006,"Greater Sudbury, Ontario",Residential,7627.0
2006,"Guelph, Ontario",Residential,10927.0
2006,"Hamilton, Ontario",Residential,57457.5
2006,"Kingston, Ontario",Residential,12107.3
2006,"Kitchener-Cambridge-Waterloo, Ontario",Residential,33811.2
2006,"London, Ontario",Residential,31126.9
2006,"Oshawa, Ontario",Residential,26529.5
2006,"Ottawa-Gatineau, Ontario/Quebec",Residential,95393.5
2006,Ottawa part,Residential,77648.1
2006,Gatineau part,Residential,17745.4
2006,"Peterborough, Ontario",Residential,9438.8
2006,"St. Catharines-Niagara, Ontario",Residential,27727.3
2006,"Thunder Bay, Ontario",Residential,6107.0
2006,"Toronto, Ontario",Residential,560669.0
2006,"Windsor, Ontario",Residential,20246.4
2006,"Winnipeg, Manitoba",Residential,37129.7
2006,"Regina, Saskatchewan",Residential,10233.8
2006,"Saskatoon, Saskatchewan",Residential,13037.9
2006,"Calgary, Alberta",Residential,147227.8
