Date (Year-Month),Location,Category,Reference_Index,Index(%)
1981-01,Canada,Total (house and land),"Index, 201612=100",38.2
1981-01,Canada,House only,"Index, 201612=100",36.1
1981-01,Canada,Land only,"Index, 201612=100",40.6
1981-01,Atlantic Region,Total (house and land),"Index, 201612=100",
1981-01,Atlantic Region,House only,"Index, 201612=100",
1981-01,Atlantic Region,Land only,"Index, 201612=100",
1981-01,Newfoundland and Labrador,Total (house and land),"Index, 201612=100",
1981-01,Newfoundland and Labrador,House only,"Index, 201612=100",
1981-01,Newfoundland and Labrador,Land only,"Index, 201612=100",
1981-01,"St. John's, Newfoundland and Labrador",Total (house and land),"Index, 201612=100",36.1
1981-01,"St. John's, Newfoundland and Labrador",House only,"Index, 201612=100",37.5
1981-01,"St. John's, Newfoundland and Labrador",Land only,"Index, 201612=100",31.4
1981-01,Prince Edward Island,Total (house and land),"Index, 201612=100",
1981-01,Prince Edward Island,House only,"Index, 201612=100",
1981-01,Prince Edward Island,Land only,"Index, 201612=100",
1981-01,"Charlottetown, Prince Edward Island",Total (house and land),"Index, 201612=100",
1981-01,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
1981-01,"Charlottetown, Prince Edward Island",Land only,"Index, 201612=100",
1981-01,Nova Scotia,Total (house and land),"Index, 201612=100",
1981-01,Nova Scotia,House only,"Index, 201612=100",
1981-01,Nova Scotia,Land only,"Index, 201612=100",
1981-01,"Halifax, Nova Scotia",Total (house and land),"Index, 201612=100",
1981-01,"Halifax, Nova Scotia",House only,"Index, 201612=100",
1981-01,"Halifax, Nova Scotia",Land only,"Index, 201612=100",
1981-01,New Brunswick,Total (house and land),"Index, 201612=100",
1981-01,New Brunswick,House only,"Index, 201612=100",
1981-01,New Brunswick,Land only,"Index, 201612=100",
1981-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),"Index, 201612=100",55.9
1981-01,"Saint John, Fredericton, and Moncton, New Brunswick",House only,"Index, 201612=100",61.4
1981-01,"Saint John, Fredericton, and Moncton, New Brunswick",Land only,"Index, 201612=100",38.0
1981-01,Quebec,Total (house and land),"Index, 201612=100",
1981-01,Quebec,House only,"Index, 201612=100",
1981-01,Quebec,Land only,"Index, 201612=100",
1981-01,"Québec, Quebec",Total (house and land),"Index, 201612=100",30.1
1981-01,"Québec, Quebec",House only,"Index, 201612=100",34.9
1981-01,"Québec, Quebec",Land only,"Index, 201612=100",19.8
1981-01,"Sherbrooke, Quebec",Total (house and land),"Index, 201612=100",
1981-01,"Sherbrooke, Quebec",House only,"Index, 201612=100",
1981-01,"Sherbrooke, Quebec",Land only,"Index, 201612=100",
1981-01,"Trois-Rivières, Quebec",Total (house and land),"Index, 201612=100",
1981-01,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
1981-01,"Trois-Rivières, Quebec",Land only,"Index, 201612=100",
1981-01,"Montréal, Quebec",Total (house and land),"Index, 201612=100",28.5
1981-01,"Montréal, Quebec",House only,"Index, 201612=100",30.0
1981-01,"Montréal, Quebec",Land only,"Index, 201612=100",20.3
1981-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),"Index, 201612=100",
1981-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
1981-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Land only,"Index, 201612=100",
1981-01,Ontario,Total (house and land),"Index, 201612=100",
1981-01,Ontario,House only,"Index, 201612=100",
1981-01,Ontario,Land only,"Index, 201612=100",
1981-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),"Index, 201612=100",32.6
1981-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",House only,"Index, 201612=100",30.8
1981-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Land only,"Index, 201612=100",39.9
1981-01,"Oshawa, Ontario",Total (house and land),"Index, 201612=100",
1981-01,"Oshawa, Ontario",House only,"Index, 201612=100",
1981-01,"Oshawa, Ontario",Land only,"Index, 201612=100",
1981-01,"Toronto, Ontario",Total (house and land),"Index, 201612=100",28.0
1981-01,"Toronto, Ontario",House only,"Index, 201612=100",22.6
1981-01,"Toronto, Ontario",Land only,"Index, 201612=100",39.1
1981-01,"Hamilton, Ontario",Total (house and land),"Index, 201612=100",30.3
1981-01,"Hamilton, Ontario",House only,"Index, 201612=100",24.8
1981-01,"Hamilton, Ontario",Land only,"Index, 201612=100",46.0
1981-01,"St. Catharines-Niagara, Ontario",Total (house and land),"Index, 201612=100",30.6
1981-01,"St. Catharines-Niagara, Ontario",House only,"Index, 201612=100",28.3
1981-01,"St. Catharines-Niagara, Ontario",Land only,"Index, 201612=100",35.6
1981-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),"Index, 201612=100",34.0
1981-01,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",30.4
1981-01,"Kitchener-Cambridge-Waterloo, Ontario",Land only,"Index, 201612=100",43.4
1981-01,"Guelph, Ontario",Total (house and land),"Index, 201612=100",
1981-01,"Guelph, Ontario",House only,"Index, 201612=100",
1981-01,"Guelph, Ontario",Land only,"Index, 201612=100",
1981-01,"London, Ontario",Total (house and land),"Index, 201612=100",31.8
1981-01,"London, Ontario",House only,"Index, 201612=100",27.0
1981-01,"London, Ontario",Land only,"Index, 201612=100",51.0
1981-01,"Windsor, Ontario",Total (house and land),"Index, 201612=100",61.2
1981-01,"Windsor, Ontario",House only,"Index, 201612=100",64.9
