"REF_DATE","GEO","DGUID","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2008","Canada","2016A000011124","Household disposable income","Dollars","81","millions","6","v1043020117","1.1","858285","","","","0"
"2008","Canada","2016A000011124","Plus: social transfers in kind","Dollars","81","millions","6","v1043020118","1.2","224274","","","","0"
"2008","Canada","2016A000011124","Equals: adjusted household disposable income","Dollars","81","millions","6","v1043020119","1.3","1082559","","","","0"
"2008","Canada","2016A000011124","Adjusted household disposable income","Dollars","81","millions","6","v1059484362","1.7","1082559","","","","0"
"2008","Canada","2016A000011124","Minus: household actual final consumption","Dollars","81","millions","6","v1043020120","1.4","1099472","","","","0"
"2008","Canada","2016A000011124","Plus: change in pension entitlements","Dollars","81","millions","6","v1043020121","1.5","45397","","","","0"
"2008","Canada","2016A000011124","Equals: household net saving","Dollars","81","millions","6","v1043020122","1.6","28484","","","","0"
"2008","Newfoundland and Labrador","2016A000210","Household disposable income","Dollars","81","millions","6","v1043020123","2.1","11824","","","","0"
"2008","Newfoundland and Labrador","2016A000210","Plus: social transfers in kind","Dollars","81","millions","6","v1043020124","2.2","3856","","","","0"
"2008","Newfoundland and Labrador","2016A000210","Equals: adjusted household disposable income","Dollars","81","millions","6","v1043020125","2.3","15680","","","","0"
"2008","Newfoundland and Labrador","2016A000210","Adjusted household disposable income","Dollars","81","millions","6","v1059484363","2.7","15680","","","","0"
"2008","Newfoundland and Labrador","2016A000210","Minus: household actual final consumption","Dollars","81","millions","6","v1043020126","2.4","15993","","","","0"
"2008","Newfoundland and Labrador","2016A000210","Plus: change in pension entitlements","Dollars","81","millions","6","v1043020127","2.5","718","","","","0"
"2008","Newfoundland and Labrador","2016A000210","Equals: household net saving","Dollars","81","millions","6","v1043020128","2.6","405","","","","0"
"2008","Prince Edward Island","2016A000211","Household disposable income","Dollars","81","millions","6","v1043020129","3.1","3021","","","","0"
"2008","Prince Edward Island","2016A000211","Plus: social transfers in kind","Dollars","81","millions","6","v1043020130","3.2","886","","","","0"
"2008","Prince Edward Island","2016A000211","Equals: adjusted household disposable income","Dollars","81","millions","6","v1043020131","3.3","3907","","","","0"
"2008","Prince Edward Island","2016A000211","Adjusted household disposable income","Dollars","81","millions","6","v1059484364","3.7","3907","","","","0"
"2008","Prince Edward Island","2016A000211","Minus: household actual final consumption","Dollars","81","millions","6","v1043020132","3.4","4249","","","","0"
"2008","Prince Edward Island","2016A000211","Plus: change in pension entitlements","Dollars","81","millions","6","v1043020133","3.5","208","","","","0"
"2008","Prince Edward Island","2016A000211","Equals: household net saving","Dollars","81","millions","6","v1043020134","3.6","-134","","","","0"
"2008","Nova Scotia","2016A000212","Household disposable income","Dollars","81","millions","6","v1043020135","4.1","21059","","","","0"
"2008","Nova Scotia","2016A000212","Plus: social transfers in kind","Dollars","81","millions","6","v1043020136","4.2","6175","","","","0"
"2008","Nova Scotia","2016A000212","Equals: adjusted household disposable income","Dollars","81","millions","6","v1043020137","4.3","27234","","","","0"
"2008","Nova Scotia","2016A000212","Adjusted household disposable income","Dollars","81","millions","6","v1059484365","4.7","27234","","","","0"
"2008","Nova Scotia","2016A000212","Minus: household actual final consumption","Dollars","81","millions","6","v1043020138","4.4","29767","","","","0"
"2008","Nova Scotia","2016A000212","Plus: change in pension entitlements","Dollars","81","millions","6","v1043020139","4.5","1820","","","","0"
"2008","Nova Scotia","2016A000212","Equals: household net saving","Dollars","81","millions","6","v1043020140","4.6","-713","","","","0"
"2008","New Brunswick","2016A000213","Household disposable income","Dollars","81","millions","6","v1043020141","5.1","16713","","","","0"
"2008","New Brunswick","2016A000213","Plus: social transfers in kind","Dollars","81","millions","6","v1043020142","5.2","5167","","","","0"
"2008","New Brunswick","2016A000213","Equals: adjusted household disposable income","Dollars","81","millions","6","v1043020143","5.3","21880","","","","0"
"2008","New Brunswick","2016A000213","Adjusted household disposable income","Dollars","81","millions","6","v1059484366","5.7","21880","","","","0"
"2008","New Brunswick","2016A000213","Minus: household actual final consumption","Dollars","81","millions","6","v1043020144","5.4","22971","","","","0"
"2008","New Brunswick","2016A000213","Plus: change in pension entitlements","Dollars","81","millions","6","v1043020145","5.5","1162","","","","0"
"2008","New Brunswick","2016A000213","Equals: household net saving","Dollars","81","millions","6","v1043020146","5.6","71","","","","0"
"2008","Quebec","2016A000224","Household disposable income","Dollars","81","millions","6","v1043020147","6.1","177597","","","","0"
"2008","Quebec","2016A000224","Plus: social transfers in kind","Dollars","81","millions","6","v1043020148","6.2","50413","","","","0"
"2008","Quebec","2016A000224","Equals: adjusted household disposable income","Dollars","81","millions","6","v1043020149","6.3","228010","","","","0"
"2008","Quebec","2016A000224","Adjusted household disposable income","Dollars","81","millions","6","v1059484367","6.7","228010","","","","0"
"2008","Quebec","2016A000224","Minus: household actual final consumption","Dollars","81","millions","6","v1043020150","6.4","233930","","","","0"
"2008","Quebec","2016A000224","Plus: change in pension entitlements","Dollars","81","millions","6","v1043020151","6.5","13397","","","","0"
"2008","Quebec","2016A000224","Equals: household net saving","Dollars","81","millions","6","v1043020152","6.6","7477","","","","0"
"2008","Ontario","2016A000235","Household disposable income","Dollars","81","millions","6","v1043020153","7.1","334652","","","","0"
"2008","Ontario","2016A000235","Plus: social transfers in kind","Dollars","81","millions","6","v1043020154","7.2","86571","","","","0"
"2008","Ontario","2016A000235","Equals: adjusted household disposable income","Dollars","81","millions","6","v1043020155","7.3","421223","","","","0"
"2008","Ontario","2016A000235","Adjusted household disposable income","Dollars","81","millions","6","v1059484368","7.7","421223","","","","0"
"2008","Ontario","2016A000235","Minus: household actual final consumption","Dollars","81","millions","6","v1043020156","7.4","427065","","","","0"
"2008","Ontario","2016A000235","Plus: change in pension entitlements","Dollars","81","millions","6","v1043020157","7.5","15971","","","","0"
"2008","Ontario","2016A000235","Equals: household net saving","Dollars","81","millions","6","v1043020158","7.6","10129","","","","0"
"2008","Manitoba","2016A000246","Household disposable income","Dollars","81","millions","6","v1043020159","8.1","27475","","","","0"
"2008","Manitoba","2016A000246","Plus: social transfers in kind","Dollars","81","millions","6","v1043020160","8.2","9368","","","","0"
"2008","Manitoba","2016A000246","Equals: adjusted household disposable income","Dollars","81","millions","6","v1043020161","8.3","36843","","","","0"
"2008","Manitoba","2016A000246","Adjusted household disposable income","Dollars","81","millions","6","v1059484369","8.7","36843","","","","0"
"2008","Manitoba","2016A000246","Minus: household actual final consumption","Dollars","81","millions","6","v1043020162","8.4","38470","","","","0"
"2008","Manitoba","2016A000246","Plus: change in pension entitlements","Dollars","81","millions","6","v1043020163","8.5","1668","","","","0"
"2008","Manitoba","2016A000246","Equals: household net saving","Dollars","81","millions","6","v1043020164","8.6","41","","","","0"
"2008","Saskatchewan","2016A000247","Household disposable income","Dollars","81","millions","6","v1043020165","9.1","27351","","","","0"
"2008","Saskatchewan","2016A000247","Plus: social transfers in kind","Dollars","81","millions","6","v1043020166","9.2","7421","","","","0"
"2008","Saskatchewan","2016A000247","Equals: adjusted household disposable income","Dollars","81","millions","6","v1043020167","9.3","34772","","","","0"
"2008","Saskatchewan","2016A000247","Adjusted household disposable income","Dollars","81","millions","6","v1059484370","9.7","34772","","","","0"
"2008","Saskatchewan","2016A000247","Minus: household actual final consumption","Dollars","81","millions","6","v1043020168","9.4","33956","","","","0"
"2008","Saskatchewan","2016A000247","Plus: change in pension entitlements","Dollars","81","millions","6","v1043020169","9.5","1301","","","","0"
"2008","Saskatchewan","2016A000247","Equals: household net saving","Dollars","81","millions","6","v1043020170","9.6","2117","","","","0"
"2008","Alberta","2016A000248","Household disposable income","Dollars","81","millions","6","v1043020171","10.1","118468","","","","0"
"2008","Alberta","2016A000248","Plus: social transfers in kind","Dollars","81","millions","6","v1043020172","10.2","24871","","","","0"
"2008","Alberta","2016A000248","Equals: adjusted household disposable income","Dollars","81","millions","6","v1043020173","10.3","143339","","","","0"
"2008","Alberta","2016A000248","Adjusted household disposable income","Dollars","81","millions","6","v1059484371","10.7","143339","","","","0"
"2008","Alberta","2016A000248","Minus: household actual final consumption","Dollars","81","millions","6","v1043020174","10.4","136787","","","","0"
"2008","Alberta","2016A000248","Plus: change in pension entitlements","Dollars","81","millions","6","v1043020175","10.5","3819","","","","0"
"2008","Alberta","2016A000248","Equals: household net saving","Dollars","81","millions","6","v1043020176","10.6","10371","","","","0"
"2008","British Columbia","2016A000259","Household disposable income","Dollars","81","millions","6","v1043020177","11.1","116186","","","","0"
"2008","British Columbia","2016A000259","Plus: social transfers in kind","Dollars","81","millions","6","v1043020178","11.2","27627","","","","0"
"2008","British Columbia","2016A000259","Equals: adjusted household disposable income","Dollars","81","millions","6","v1043020179","11.3","143813","","","","0"
"2008","British Columbia","2016A000259","Adjusted household disposable income","Dollars","81","millions","6","v1059484372","11.7","143813","","","","0"
"2008","British Columbia","2016A000259","Minus: household actual final consumption","Dollars","81","millions","6","v1043020180","11.4","151338","","","","0"
"2008","British Columbia","2016A000259","Plus: change in pension entitlements","Dollars","81","millions","6","v1043020181","11.5","5140","","","","0"
"2008","British Columbia","2016A000259","Equals: household net saving","Dollars","81","millions","6","v1043020182","11.6","-2385","","","","0"
"2008","Yukon","2016A000260","Household disposable income","Dollars","81","millions","6","v1043020183","12.1","1106","","","","0"
"2008","Yukon","2016A000260","Plus: social transfers in kind","Dollars","81","millions","6","v1043020184","12.2","481","","","","0"
"2008","Yukon","2016A000260","Equals: adjusted household disposable income","Dollars","81","millions","6","v1043020185","12.3","1587","","","","0"
"2008","Yukon","2016A000260","Adjusted household disposable income","Dollars","81","millions","6","v1059484373","12.7","1587","","","","0"
"2008","Yukon","2016A000260","Minus: household actual final consumption","Dollars","81","millions","6","v1043020186","12.4","1455","","","","0"
"2008","Yukon","2016A000260","Plus: change in pension entitlements","Dollars","81","millions","6","v1043020187","12.5","72","","","","0"
"2008","Yukon","2016A000260","Equals: household net saving","Dollars","81","millions","6","v1043020188","12.6","204","","","","0"
"2008","Northwest Territories","2016A000261","Household disposable income","Dollars","81","millions","6","v1043020189","13.1","1539","","","","0"
"2008","Northwest Territories","2016A000261","Plus: social transfers in kind","Dollars","81","millions","6","v1043020190","13.2","792","","","","0"
"2008","Northwest Territories","2016A000261","Equals: adjusted household disposable income","Dollars","81","millions","6","v1043020191","13.3","2331","","","","0"
"2008","Northwest Territories","2016A000261","Adjusted household disposable income","Dollars","81","millions","6","v1059484374","13.7","2331","","","","0"
"2008","Northwest Territories","2016A000261","Minus: household actual final consumption","Dollars","81","millions","6","v1043020192","13.4","2121","","","","0"
"2008","Northwest Territories","2016A000261","Plus: change in pension entitlements","Dollars","81","millions","6","v1043020193","13.5","86","","","","0"
"2008","Northwest Territories","2016A000261","Equals: household net saving","Dollars","81","millions","6","v1043020194","13.6","296","","","","0"
"2008","Nunavut","2016A000262","Household disposable income","Dollars","81","millions","6","v1043020195","14.1","861","","","","0"
"2008","Nunavut","2016A000262","Plus: social transfers in kind","Dollars","81","millions","6","v1043020196","14.2","646","","","","0"
"2008","Nunavut","2016A000262","Equals: adjusted household disposable income","Dollars","81","millions","6","v1043020197","14.3","1507","","","","0"
"2008","Nunavut","2016A000262","Adjusted household disposable income","Dollars","81","millions","6","v1059484375","14.7","1507","","","","0"
"2008","Nunavut","2016A000262","Minus: household actual final consumption","Dollars","81","millions","6","v1043020198","14.4","1228","","","","0"
"2008","Nunavut","2016A000262","Plus: change in pension entitlements","Dollars","81","millions","6","v1043020199","14.5","35","","","","0"
"2008","Nunavut","2016A000262","Equals: household net saving","Dollars","81","millions","6","v1043020200","14.6","314","","","","0"
"2008","Outside Canada","","Household disposable income","Dollars","81","millions","6","v1043020201","15.1","433","","","","0"
"2008","Outside Canada","","Plus: social transfers in kind","Dollars","81","millions","6","v1043020202","15.2","0","","","","0"
"2008","Outside Canada","","Equals: adjusted household disposable income","Dollars","81","millions","6","v1043020203","15.3","433","","","","0"
"2008","Outside Canada","","Adjusted household disposable income","Dollars","81","millions","6","v1059484376","15.7","433","","","","0"
"2008","Outside Canada","","Minus: household actual final consumption","Dollars","81","millions","6","v1043020204","15.4","142","","","","0"
"2008","Outside Canada","","Plus: change in pension entitlements","Dollars","81","millions","6","v1043020205","15.5","","..","","","0"
"2008","Outside Canada","","Equals: household net saving","Dollars","81","millions","6","v1043020206","15.6","291","","","","0"
"2009","Canada","2016A000011124","Household disposable income","Dollars","81","millions","6","v1043020117","1.1","880814","","","","0"
"2009","Canada","2016A000011124","Plus: social transfers in kind","Dollars","81","millions","6","v1043020118","1.2","234351","","","","0"
"2009","Canada","2016A000011124","Equals: adjusted household disposable income","Dollars","81","millions","6","v1043020119","1.3","1115165","","","","0"
"2009","Canada","2016A000011124","Adjusted household disposable income","Dollars","81","millions","6","v1059484362","1.7","1115165","","","","0"
"2009","Canada","2016A000011124","Minus: household actual final consumption","Dollars","81","millions","6","v1043020120","1.4","1112553","","","","0"
"2009","Canada","2016A000011124","Plus: change in pension entitlements","Dollars","81","millions","6","v1043020121","1.5","38057","","","","0"
"2009","Canada","2016A000011124","Equals: household net saving","Dollars","81","millions","6","v1043020122","1.6","40669","","","","0"
"2009","Newfoundland and Labrador","2016A000210","Household disposable income","Dollars","81","millions","6","v1043020123","2.1","12712","","","","0"
"2009","Newfoundland and Labrador","2016A000210","Plus: social transfers in kind","Dollars","81","millions","6","v1043020124","2.2","4321","","","","0"
"2009","Newfoundland and Labrador","2016A000210","Equals: adjusted household disposable income","Dollars","81","millions","6","v1043020125","2.3","17033","","","","0"
"2009","Newfoundland and Labrador","2016A000210","Adjusted household disposable income","Dollars","81","millions","6","v1059484363","2.7","17033","","","","0"
"2009","Newfoundland and Labrador","2016A000210","Minus: household actual final consumption","Dollars","81","millions","6","v1043020126","2.4","16863","","","","0"
