Refrence Date,Location,Income after Tax
2006,Canada,57600
2007,Canada,59000
2008,Canada,60500
2009,Canada,60700
2010,Canada,59800
2011,Canada,60300
2012,Canada,61700
2013,Canada,61900
2014,Canada,63500
2015,Canada,63700
2016,Canada,63400
2017,Canada,65500
2006,Alberta,72200
2007,Alberta,75500
2008,Alberta,77700
2009,Alberta,77600
2010,Alberta,75900
2011,Alberta,76400
2012,Alberta,82600
2013,Alberta,83900
2014,Alberta,84700
2015,Alberta,84300
2016,Alberta,80300
2017,Alberta,80600
2006,British Columbia,59800
2007,British Columbia,60700
2008,British Columbia,63700
2009,British Columbia,61600
2010,British Columbia,60200
2011,British Columbia,61200
2012,British Columbia,61100
2013,British Columbia,63300
2014,British Columbia,63400
2015,British Columbia,64300
2016,British Columbia,65500
2017,British Columbia,69100
2006,Manitoba,52300
2007,Manitoba,55300
2008,Manitoba,58000
2009,Manitoba,58800
2010,Manitoba,58600
2011,Manitoba,57300
2012,Manitoba,59000
2013,Manitoba,61100
2014,Manitoba,61000
2015,Manitoba,61500
2016,Manitoba,62100
2017,Manitoba,63000
2006,New Brunswick,48800
2007,New Brunswick,51000
2008,New Brunswick,51400
2009,New Brunswick,52100
2010,New Brunswick,53400
2011,New Brunswick,53400
2012,New Brunswick,52600
2013,New Brunswick,53100
2014,New Brunswick,55200
2015,New Brunswick,56300
2016,New Brunswick,54600
2017,New Brunswick,57100
2006,Newfoundland and Labrador,48800
2007,Newfoundland and Labrador,51400
2008,Newfoundland and Labrador,52200
2009,Newfoundland and Labrador,54100
2010,Newfoundland and Labrador,54700
2011,Newfoundland and Labrador,55000
2012,Newfoundland and Labrador,57500
2013,Newfoundland and Labrador,62000
2014,Newfoundland and Labrador,63600
2015,Newfoundland and Labrador,60900
2016,Newfoundland and Labrador,61400
2017,Newfoundland and Labrador,59300
2006,Nova Scotia,49900
2007,Nova Scotia,52800
2008,Nova Scotia,51200
2009,Nova Scotia,51900
2010,Nova Scotia,52600
2011,Nova Scotia,54100
2012,Nova Scotia,54700
2013,Nova Scotia,54900
2014,Nova Scotia,55500
2015,Nova Scotia,54000
2016,Nova Scotia,55600
2017,Nova Scotia,56200
2006,Ontario,63000
2007,Ontario,64400
2008,Ontario,65300
